threshold,lead,n_event,n_nonevent,q,miss,far,p_zero_pre,p_zero_post
-1.0,1,30,503,0.0,0.0,1.0,0.4,0.6
-1.0,2,28,505,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855
-1.0,3,26,507,0.0,0.0,1.0,0.5,0.46153846153846156
-1.0,4,26,507,0.0,0.0,1.0,0.5384615384615384,0.3076923076923077
-1.0,5,26,507,0.0,0.0,1.0,0.34615384615384615,0.11538461538461539
-1.0,6,26,507,0.1,0.038461538461538464,0.46548323471400394,0.4230769230769231,0.038461538461538464
-1.0,7,26,507,0.2,0.038461538461538464,0.4260355029585799,0.4230769230769231,0.038461538461538464
-1.0,8,26,507,0.2,0.038461538461538464,0.4477317554240631,0.2692307692307692,0.038461538461538464
-1.0,9,24,509,0.2,0.0,0.47347740667976423,0.2916666666666667,0.0
-1.0,10,24,509,0.1,0.0,0.5599214145383105,0.20833333333333334,0.0
-1.0,11,24,509,0.315,0.08333333333333333,0.43222003929273084,0.16666666666666666,0.0
-1.0,12,24,509,0.2,0.0,0.5088408644400786,0.20833333333333334,0.0
-1.0,13,24,509,0.4,0.0,0.43418467583497056,0.08333333333333333,0.0
-1.0,14,24,509,0.33,0.08333333333333333,0.4381139489194499,0.16666666666666666,0.0
-1.0,15,23,510,0.41000000000000003,0.08695652173913043,0.38823529411764707,0.043478260869565216,0.0
-1.0,16,23,510,0.7,0.043478260869565216,0.39215686274509803,0.0,0.0
-1.0,17,5,86,3.66,0.2,0.05813953488372093,0.0,0.0
-1.0,18,5,86,3.1,0.2,0.05813953488372093,0.0,0.0
-1.0,20,3,88,0.8,0.0,0.17045454545454544,0.0,0.0
-1.0,21,6,85,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
-1.0,27,2,89,3.9,0.0,0.02247191011235955,0.0,0.0
-1.0,28,2,89,4.0,0.0,0.056179775280898875,0.0,0.0
3.0,1,223,310,0.0,0.0,1.0,0.34080717488789236,0.336322869955157
3.0,2,212,321,0.0,0.0,1.0,0.32075471698113206,0.2358490566037736
3.0,3,203,330,0.0,0.0,1.0,0.29064039408866993,0.20689655172413793
3.0,4,198,335,0.0,0.0,1.0,0.29797979797979796,0.1414141414141414
3.0,5,189,344,0.0,0.0,1.0,0.20634920634920634,0.09523809523809523
3.0,6,191,342,0.05,0.05235602094240838,0.7690058479532164,0.17277486910994763,0.05235602094240838
3.0,7,198,335,0.1,0.045454545454545456,0.7611940298507462,0.20202020202020202,0.045454545454545456
3.0,8,194,339,0.0,0.0,1.0,0.16494845360824742,0.05670103092783505
3.0,9,181,352,0.0,0.0,1.0,0.143646408839779,0.0718232044198895
3.0,10,181,352,0.1,0.022099447513812154,0.8948863636363636,0.09944751381215469,0.022099447513812154
3.0,11,180,353,0.39500000000000013,0.05,0.8243626062322946,0.1,0.016666666666666666
3.0,12,170,363,0.3,0.041176470588235294,0.8705234159779615,0.11764705882352941,0.0
3.0,13,159,374,0.4,0.03773584905660377,0.8850267379679144,0.06918238993710692,0.012578616352201259
3.0,14,151,382,0.5,0.039735099337748346,0.8769633507853403,0.09933774834437085,0.0
3.0,15,146,387,0.525,0.0547945205479452,0.8501291989664083,0.0547945205479452,0.0
3.0,16,139,394,0.9700000000000001,0.050359712230215826,0.8071065989847716,0.050359712230215826,0.0
3.0,17,18,73,0.0,0.0,1.0,0.1111111111111111,0.1111111111111111
3.0,18,25,66,0.2,0.04,0.7878787878787878,0.0,0.0
3.0,19,29,62,0.14,0.06896551724137931,0.7419354838709677,0.034482758620689655,0.034482758620689655
3.0,20,30,61,0.18000000000000008,0.06666666666666667,0.639344262295082,0.06666666666666667,0.06666666666666667
3.0,21,27,64,0.0,0.0,1.0,0.14814814814814814,0.14814814814814814
3.0,22,5,86,14.2,0.2,0.22093023255813954,0.0,0.0
3.0,23,2,89,22.6,0.0,0.16853932584269662,0.0,0.0
3.0,24,6,85,8.4,0.0,0.2,0.0,0.0
3.0,25,12,79,0.1,0.0,0.7468354430379747,0.0,0.0
3.0,26,21,70,0.2,0.0,0.6714285714285714,0.0,0.0
3.0,27,22,69,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727
3.0,28,10,81,0.3,0.0,0.6049382716049383,0.0,0.0
3.0,29,3,88,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666
3.0,30,2,89,14.0,0.0,0.15730337078651685,0.0,0.0
