threshold,lead_time_days,p_zero_pre,p_zero_post
-1.0,1,0.4,0.6
-1.0,2,0.42857142857142855,0.42857142857142855
-1.0,3,0.5,0.46153846153846156
-1.0,4,0.5384615384615384,0.3076923076923077
-1.0,5,0.34615384615384615,0.11538461538461539
-1.0,6,0.4230769230769231,0.038461538461538464
-1.0,7,0.4230769230769231,0.038461538461538464
-1.0,8,0.2692307692307692,0.038461538461538464
-1.0,9,0.2916666666666667,0.0
-1.0,10,0.20833333333333334,0.0
-1.0,11,0.16666666666666666,0.0
-1.0,12,0.20833333333333334,0.0
-1.0,13,0.08333333333333333,0.0
-1.0,14,0.16666666666666666,0.0
-1.0,15,0.043478260869565216,0.0
-1.0,16,0.0,0.0
-1.0,17,0.0,0.0
-1.0,18,0.0,0.0
-1.0,20,0.0,0.0
-1.0,21,0.3333333333333333,0.3333333333333333
-1.0,27,0.0,0.0
-1.0,28,0.0,0.0
3.0,1,0.34080717488789236,0.336322869955157
3.0,2,0.32075471698113206,0.2358490566037736
3.0,3,0.29064039408866993,0.20689655172413793
3.0,4,0.29797979797979796,0.1414141414141414
3.0,5,0.20634920634920634,0.09523809523809523
3.0,6,0.17277486910994763,0.05235602094240838
3.0,7,0.20202020202020202,0.045454545454545456
3.0,8,0.16494845360824742,0.05670103092783505
3.0,9,0.143646408839779,0.0718232044198895
3.0,10,0.09944751381215469,0.022099447513812154
3.0,11,0.1,0.016666666666666666
3.0,12,0.11764705882352941,0.0
3.0,13,0.06918238993710692,0.012578616352201259
3.0,14,0.09933774834437085,0.0
3.0,15,0.0547945205479452,0.0
3.0,16,0.050359712230215826,0.0
3.0,17,0.1111111111111111,0.1111111111111111
3.0,18,0.0,0.0
3.0,19,0.034482758620689655,0.034482758620689655
3.0,20,0.06666666666666667,0.06666666666666667
3.0,21,0.14814814814814814,0.14814814814814814
3.0,22,0.0,0.0
3.0,23,0.0,0.0
3.0,24,0.0,0.0
3.0,25,0.0,0.0
3.0,26,0.0,0.0
3.0,27,0.22727272727272727,0.22727272727272727
3.0,28,0.0,0.0
3.0,29,0.6666666666666666,0.6666666666666666
3.0,30,0.0,0.0
